session_id,user_id,date,channel,device,page_views,session_duration,converted,revenue,bounce_rate
SESS_0000001,USER_01228,2023-02-01,Organic Search,Desktop,5,290.75329987165605,False,0.0,0
SESS_0000002,USER_01657,2023-05-15,Organic Search,Mobile,2,161.33832593242192,False,0.0,0
SESS_0000003,USER_00788,2023-06-29,Paid Search,Desktop,7,89.60448189828044,False,0.0,0
SESS_0000004,USER_00090,2023-05-15,Direct,Mobile,8,95.27493349868811,False,0.0,0
SESS_0000005,USER_01414,2023-05-12,Organic Search,Desktop,6,407.6763550065585,False,0.0,0
SESS_0000006,USER_01298,2023-10-24,Organic Search,Mobile,10,203.5685868995817,False,0.0,0
SESS_0000007,USER_00653,2023-04-23,Email,Mobile,7,16.67471295819651,False,0.0,0
SESS_0000008,USER_00025,2023-12-02,Referral,Desktop,5,294.54557350263144,False,0.0,0
SESS_0000009,USER_00701,2023-07-19,Organic Search,Desktop,8,48.367945916148,False,0.0,0
SESS_0000010,USER_01245,2023-09-01,Organic Search,Mobile,4,83.55172235333957,False,0.0,0
SESS_0000011,USER_00111,2023-06-05,Direct,Mobile,4,4.323105436949728,False,0.0,0
SESS_0000012,USER_00234,2023-06-28,Paid Search,Desktop,4,58.98272484925279,False,0.0,0
SESS_0000013,USER_00115,2023-05-24,Social Media,Desktop,6,6.51523680760704,False,0.0,0
SESS_0000014,USER_00537,2023-01-08,Direct,Desktop,9,412.413285071797,False,0.0,0
SESS_0000015,USER_01956,2023-12-08,Organic Search,Mobile,5,428.24147572219556,False,0.0,0
SESS_0000016,USER_00740,2023-11-19,Organic Search,Desktop,7,38.06250099215884,False,0.0,0
SESS_0000017,USER_01368,2023-08-24,Organic Search,Mobile,8,40.43346719091901,False,0.0,0
SESS_0000018,USER_00150,2023-07-22,Paid Search,Mobile,8,217.02973218704466,False,0.0,0
SESS_0000019,USER_00510,2023-05-27,Organic Search,Mobile,8,232.32507693130015,False,0.0,0
SESS_0000020,USER_00725,2023-08-20,Organic Search,Desktop,10,221.51938721183373,False,0.0,0
SESS_0000021,USER_01900,2023-09-08,Organic Search,Mobile,9,208.0155571001113,False,0.0,0
SESS_0000022,USER_01550,2023-05-26,Paid Search,Mobile,6,168.23052248922411,False,0.0,0
SESS_0000023,USER_00186,2023-11-27,Email,Desktop,3,219.8023926606981,False,0.0,0
SESS_0000024,USER_01001,2023-12-03,Social Media,Tablet,5,140.87979665340777,False,0.0,0
SESS_0000025,USER_00892,2023-10-12,Organic Search,Desktop,8,89.8839832761028,False,0.0,0
SESS_0000026,USER_01794,2023-12-06,Email,Mobile,11,67.18130925774089,False,0.0,0
SESS_0000027,USER_00741,2023-12-14,Paid Search,Mobile,5,221.59894756324812,False,0.0,0
SESS_0000028,USER_01445,2023-02-08,Organic Search,Desktop,6,10.095497023548873,False,0.0,0
SESS_0000029,USER_00943,2023-02-09,Paid Search,Desktop,5,52.34118870998794,False,0.0,0
SESS_0000030,USER_01047,2023-07-24,Paid Search,Mobile,1,15.189248649639843,False,0.0,1
SESS_0000031,USER_01951,2023-10-26,Paid Search,Desktop,5,18.47782423077537,False,0.0,0
SESS_0000032,USER_01984,2023-10-25,Organic Search,Desktop,6,194.33764814217756,False,0.0,0
SESS_0000033,USER_01227,2023-11-04,Paid Search,Desktop,5,31.08811727942932,False,0.0,0
SESS_0000034,USER_01787,2023-08-03,Paid Search,Tablet,5,63.44391137420893,False,0.0,0
SESS_0000035,USER_01218,2023-08-18,Organic Search,Mobile,6,45.56028533316599,False,0.0,0
SESS_0000036,USER_00852,2023-05-13,Organic Search,Desktop,11,361.10551629050053,False,0.0,0
SESS_0000037,USER_01990,2023-12-02,Paid Search,Desktop,7,25.222008784019383,False,0.0,0
SESS_0000038,USER_00272,2023-11-09,Referral,Desktop,6,90.46324044905144,False,0.0,0
SESS_0000039,USER_01818,2023-12-05,Organic Search,Desktop,5,267.9441655271933,False,0.0,0
SESS_0000040,USER_01700,2023-12-03,Social Media,Desktop,9,15.843389158707858,False,0.0,0
SESS_0000041,USER_01356,2023-10-30,Organic Search,Desktop,6,28.719169853313645,False,0.0,0
SESS_0000042,USER_01203,2023-08-12,Organic Search,Mobile,10,185.02342431156353,False,0.0,0
SESS_0000043,USER_00872,2023-04-20,Organic Search,Desktop,5,486.96323782000803,False,0.0,0
SESS_0000044,USER_01995,2023-02-10,Direct,Mobile,10,325.24700705326154,False,0.0,0
SESS_0000045,USER_00515,2023-01-24,Email,Mobile,5,105.60602100650944,False,0.0,0
SESS_0000046,USER_01985,2023-02-20,Direct,Desktop,6,21.072878881754093,False,0.0,0
SESS_0000047,USER_00794,2023-05-30,Paid Search,Desktop,2,65.97800648179725,False,0.0,0
SESS_0000048,USER_01016,2023-09-02,Organic Search,Mobile,5,377.15742496169537,False,0.0,0
SESS_0000049,USER_01808,2023-02-03,Paid Search,Desktop,4,202.61007427019217,False,0.0,0
SESS_0000050,USER_01622,2023-03-10,Email,Mobile,9,106.02066248109264,False,0.0,0
SESS_0000051,USER_00431,2023-10-19,Paid Search,Mobile,7,42.756444909740644,False,0.0,0
SESS_0000052,USER_00229,2023-01-14,Social Media,Desktop,5,151.441811381964,False,0.0,0
SESS_0000053,USER_00675,2023-11-13,Email,Mobile,4,288.8600193082848,False,0.0,0
SESS_0000054,USER_01850,2023-02-18,Organic Search,Mobile,5,33.84670699040888,False,0.0,0
SESS_0000055,USER_01650,2023-06-25,Organic Search,Desktop,5,500.2508521922959,False,0.0,0
SESS_0000056,USER_01779,2023-01-20,Direct,Desktop,7,53.92354983863784,False,0.0,0
SESS_0000057,USER_01119,2023-02-17,Organic Search,Tablet,8,229.0931225981783,True,22.31367650127648,0
SESS_0000058,USER_00119,2023-02-28,Social Media,Desktop,8,2.033845209563373,False,0.0,0
SESS_0000059,USER_01070,2023-07-17,Social Media,Desktop,6,80.41886584656055,False,0.0,0
SESS_0000060,USER_01784,2023-12-17,Organic Search,Mobile,8,191.11585995725852,False,0.0,0
SESS_0000061,USER_00399,2023-08-18,Paid Search,Desktop,5,101.81570806414257,False,0.0,0
SESS_0000062,USER_00294,2023-04-05,Paid Search,Desktop,4,351.5805178872458,False,0.0,0
SESS_0000063,USER_01170,2023-11-12,Social Media,Desktop,5,165.1932107965166,False,0.0,0
SESS_0000064,USER_01113,2023-12-10,Email,Mobile,9,214.42659788416745,False,0.0,0
SESS_0000065,USER_00686,2023-09-29,Social Media,Desktop,4,68.11871691480596,False,0.0,0
SESS_0000066,USER_01876,2023-08-14,Referral,Desktop,8,186.99934334846733,False,0.0,0
SESS_0000067,USER_01212,2023-12-06,Organic Search,Desktop,5,65.81216076189192,False,0.0,0
SESS_0000068,USER_00898,2023-04-23,Direct,Desktop,8,12.119560502179013,False,0.0,0
SESS_0000069,USER_00775,2023-07-06,Organic Search,Desktop,6,119.6697770600123,False,0.0,0
SESS_0000070,USER_00620,2023-06-28,Organic Search,Desktop,5,57.88019061817835,False,0.0,0
SESS_0000071,USER_00957,2023-04-01,Social Media,Desktop,6,18.158780727435197,False,0.0,0
SESS_0000072,USER_00829,2023-08-02,Email,Desktop,4,311.97822552802006,False,0.0,0
SESS_0000073,USER_01493,2023-09-18,Direct,Mobile,8,225.6332927450854,False,0.0,0
SESS_0000074,USER_01886,2023-12-18,Social Media,Desktop,6,170.59726748241886,False,0.0,0
SESS_0000075,USER_00572,2023-09-27,Social Media,Desktop,8,77.20922616599594,False,0.0,0
SESS_0000076,USER_01486,2023-08-04,Direct,Mobile,6,144.85694741357094,False,0.0,0
SESS_0000077,USER_00470,2023-07-21,Paid Search,Mobile,9,114.0057993079225,False,0.0,0
SESS_0000078,USER_01720,2023-07-26,Paid Search,Desktop,8,183.6277546843033,False,0.0,0
SESS_0000079,USER_00232,2023-11-01,Direct,Desktop,3,247.73695736203626,False,0.0,0
SESS_0000080,USER_00366,2023-06-17,Direct,Desktop,8,94.41616990246555,False,0.0,0
SESS_0000081,USER_00957,2023-01-04,Organic Search,Mobile,3,220.56219502588615,False,0.0,0
SESS_0000082,USER_01047,2023-03-08,Direct,Desktop,5,110.89192992593878,False,0.0,0
SESS_0000083,USER_01078,2023-12-09,Organic Search,Mobile,6,67.86328846630292,False,0.0,0
SESS_0000084,USER_01991,2023-09-04,Organic Search,Mobile,4,87.94048167580183,False,0.0,0
SESS_0000085,USER_00290,2023-12-27,Referral,Desktop,7,61.14211810097948,False,0.0,0
SESS_0000086,USER_00588,2023-05-19,Paid Search,Desktop,6,10.561759469790424,False,0.0,0
SESS_0000087,USER_01291,2023-12-30,Social Media,Desktop,4,60.383134046196204,False,0.0,0
SESS_0000088,USER_01791,2023-06-02,Organic Search,Desktop,7,192.25034299554832,False,0.0,0
SESS_0000089,USER_01894,2023-04-07,Organic Search,Mobile,7,117.25744605477195,False,0.0,0
SESS_0000090,USER_00994,2023-03-23,Paid Search,Mobile,7,48.7869407341129,False,0.0,0
SESS_0000091,USER_00470,2023-06-02,Organic Search,Desktop,6,632.0302564898667,False,0.0,0
SESS_0000092,USER_00372,2023-11-26,Email,Desktop,4,126.14898585826697,False,0.0,0
SESS_0000093,USER_01324,2023-12-10,Paid Search,Mobile,5,77.6369235572086,False,0.0,0
SESS_0000094,USER_01734,2023-02-19,Organic Search,Mobile,5,3.788520412588679,False,0.0,0
SESS_0000095,USER_01596,2023-07-13,Paid Search,Desktop,7,101.54749769465901,False,0.0,0
SESS_0000096,USER_00255,2023-06-11,Email,Desktop,7,290.56935270545574,False,0.0,0
SESS_0000097,USER_01399,2023-03-18,Referral,Tablet,3,152.03076679159435,False,0.0,0
SESS_0000098,USER_00453,2023-09-19,Paid Search,Desktop,5,49.51091486668793,False,0.0,0
SESS_0000099,USER_00789,2023-02-08,Email,Mobile,4,687.9918155092562,False,0.0,0
SESS_0000100,USER_00686,2023-04-07,Social Media,Desktop,7,125.3436319257848,False,0.0,0
SESS_0000101,USER_00077,2023-01-16,Paid Search,Desktop,3,54.665331167957184,False,0.0,0
SESS_0000102,USER_00510,2023-05-15,Organic Search,Desktop,10,10.395233175921849,False,0.0,0
SESS_0000103,USER_01234,2023-10-16,Social Media,Desktop,8,0.3719946443940382,False,0.0,0
SESS_0000104,USER_00721,2023-09-27,Organic Search,Mobile,7,1.855602119594275,False,0.0,0
SESS_0000105,USER_00716,2023-05-21,Organic Search,Mobile,4,17.30659823441053,False,0.0,0
SESS_0000106,USER_00558,2023-12-05,Social Media,Mobile,4,51.488497677104384,False,0.0,0
SESS_0000107,USER_01197,2023-06-09,Email,Tablet,8,182.4476078644099,False,0.0,0
SESS_0000108,USER_01866,2023-01-17,Organic Search,Desktop,7,51.985818562400446,True,40.64609381638252,0
SESS_0000109,USER_00353,2023-10-17,Email,Mobile,5,1.950297242608735,False,0.0,0
SESS_0000110,USER_01454,2023-02-22,Paid Search,Desktop,6,17.479569266438048,False,0.0,0
SESS_0000111,USER_00088,2023-07-24,Organic Search,Desktop,4,75.53679656356907,False,0.0,0
SESS_0000112,USER_00490,2023-05-11,Social Media,Desktop,7,10.181455771510365,False,0.0,0
SESS_0000113,USER_00280,2023-06-08,Email,Desktop,2,233.22749803646565,False,0.0,0
SESS_0000114,USER_00331,2023-01-26,Paid Search,Mobile,6,51.7846997849817,False,0.0,0
SESS_0000115,USER_01183,2023-09-11,Organic Search,Desktop,7,218.27610916120165,False,0.0,0
SESS_0000116,USER_01734,2023-05-01,Paid Search,Desktop,7,33.82321433100999,False,0.0,0
SESS_0000117,USER_01348,2023-05-01,Social Media,Desktop,8,164.822821399528,False,0.0,0
SESS_0000118,USER_00982,2023-09-13,Email,Mobile,10,480.208926986714,False,0.0,0
SESS_0000119,USER_01352,2023-02-14,Email,Mobile,8,26.50811427782017,False,0.0,0
SESS_0000120,USER_00691,2023-05-01,Paid Search,Desktop,7,98.60898689248154,False,0.0,0
SESS_0000121,USER_01782,2023-01-11,Direct,Desktop,7,220.09772900241944,False,0.0,0
SESS_0000122,USER_01615,2023-03-08,Organic Search,Mobile,6,252.58020949788107,False,0.0,0
SESS_0000123,USER_00142,2023-09-23,Paid Search,Mobile,3,108.74560532431111,False,0.0,0
SESS_0000124,USER_01639,2023-07-30,Organic Search,Mobile,6,20.654033219106296,False,0.0,0
SESS_0000125,USER_01576,2023-07-22,Referral,Mobile,4,117.10407884759742,False,0.0,0
SESS_0000126,USER_00760,2023-02-16,Organic Search,Desktop,4,16.894556344956023,False,0.0,0
SESS_0000127,USER_00769,2023-04-27,Organic Search,Desktop,7,17.881398833212266,False,0.0,0
SESS_0000128,USER_00909,2023-08-30,Paid Search,Desktop,4,116.58621781506544,False,0.0,0
SESS_0000129,USER_00510,2023-11-20,Paid Search,Desktop,6,87.49848403782421,False,0.0,0
SESS_0000130,USER_01808,2023-04-14,Organic Search,Mobile,11,24.335559338949917,False,0.0,0
SESS_0000131,USER_00640,2023-07-22,Organic Search,Mobile,6,7.164645017420394,False,0.0,0
SESS_0000132,USER_01058,2023-10-01,Direct,Desktop,8,3.594588295296186,False,0.0,0
SESS_0000133,USER_01822,2023-02-28,Organic Search,Mobile,5,19.298033598700563,False,0.0,0
SESS_0000134,USER_01190,2023-08-10,Paid Search,Desktop,7,139.05083060385851,False,0.0,0
SESS_0000135,USER_01439,2023-01-27,Organic Search,Desktop,7,84.05614353477795,False,0.0,0
SESS_0000136,USER_00241,2023-06-08,Organic Search,Tablet,12,28.370006873304476,False,0.0,0
SESS_0000137,USER_00336,2023-04-27,Referral,Desktop,10,55.84344177227484,False,0.0,0
SESS_0000138,USER_01843,2023-11-17,Organic Search,Desktop,9,153.4728972548518,False,0.0,0
SESS_0000139,USER_01749,2023-05-30,Paid Search,Mobile,7,277.1040044473372,False,0.0,0
SESS_0000140,USER_01296,2023-08-21,Organic Search,Desktop,7,48.58008635745841,False,0.0,0
SESS_0000141,USER_01730,2023-11-26,Referral,Mobile,7,338.96813719892083,False,0.0,0
SESS_0000142,USER_01444,2023-11-12,Social Media,Mobile,10,207.51091904912784,False,0.0,0
SESS_0000143,USER_01584,2023-07-14,Email,Desktop,7,60.65699552615343,False,0.0,0
SESS_0000144,USER_00715,2023-01-27,Email,Desktop,6,75.58764652396825,False,0.0,0
SESS_0000145,USER_00344,2023-02-09,Social Media,Mobile,4,302.84682133709396,False,0.0,0
SESS_0000146,USER_01107,2023-02-22,Organic Search,Desktop,6,48.724404355601955,False,0.0,0
SESS_0000147,USER_01754,2023-07-06,Email,Desktop,6,429.59273772866453,False,0.0,0
SESS_0000148,USER_01536,2023-06-19,Social Media,Mobile,7,48.549433950226934,False,0.0,0
SESS_0000149,USER_01683,2023-05-05,Email,Mobile,4,366.9329619077095,True,42.23728178735371,0
SESS_0000150,USER_01780,2023-07-04,Email,Desktop,3,3.8908813198758354,False,0.0,0
SESS_0000151,USER_00676,2023-02-18,Organic Search,Desktop,6,1061.031078166508,False,0.0,0
SESS_0000152,USER_01314,2023-01-22,Paid Search,Mobile,3,273.1076304998876,False,0.0,0
SESS_0000153,USER_00313,2023-08-08,Social Media,Desktop,3,58.961479561723806,False,0.0,0
SESS_0000154,USER_00464,2023-04-02,Organic Search,Mobile,5,33.7261205946465,False,0.0,0
SESS_0000155,USER_00866,2023-11-18,Organic Search,Mobile,8,260.1650279076852,False,0.0,0
SESS_0000156,USER_01648,2023-09-09,Social Media,Mobile,7,31.457190583533198,False,0.0,0
SESS_0000157,USER_01557,2023-05-28,Direct,Tablet,2,87.96004940291819,False,0.0,0
SESS_0000158,USER_01430,2023-09-28,Referral,Mobile,5,429.9294673552448,False,0.0,0
SESS_0000159,USER_00959,2023-01-11,Organic Search,Mobile,6,105.9640331249187,False,0.0,0
SESS_0000160,USER_00239,2023-07-04,Paid Search,Desktop,4,70.85667559958145,False,0.0,0
SESS_0000161,USER_01384,2023-12-27,Social Media,Desktop,7,191.313531328147,False,0.0,0
SESS_0000162,USER_00705,2023-01-26,Social Media,Desktop,5,13.156758075320493,False,0.0,0
SESS_0000163,USER_00806,2023-05-06,Paid Search,Mobile,4,256.5275508673703,False,0.0,0
SESS_0000164,USER_00322,2023-10-31,Social Media,Desktop,4,145.69836469326808,False,0.0,0
SESS_0000165,USER_00516,2023-05-13,Social Media,Desktop,5,156.32766517335733,False,0.0,0
SESS_0000166,USER_00555,2023-06-17,Direct,Mobile,7,416.40949092791857,False,0.0,0
SESS_0000167,USER_00605,2023-09-16,Paid Search,Desktop,5,458.1422627984796,False,0.0,0
